id,target
0,0.03340
1,0.03994
2,0.03690
3,0.03017
4,0.03046
5,0.03100
6,0.03705
8,0.03329
10,0.04621
11,0.03405
12,0.03318
14,0.03149
15,0.04321
18,0.03806
21,0.04183
23,0.04048
24,0.03682
25,0.03839
27,0.04637
29,0.03690
30,0.03724
31,0.03910
32,0.04573
33,0.03840
37,0.03262
38,0.03498
39,0.05007
40,0.03447
41,0.03782
42,0.03566
44,0.03325
45,0.03634
47,0.03380
49,0.03190
51,0.03731
52,0.03179
53,0.03795
54,0.04923
55,0.03581
56,0.03679
57,0.04778
59,0.04707
60,0.03922
62,0.03121
63,0.05713
67,0.04124
68,0.02998
69,0.04896
70,0.03865
71,0.04171
73,0.03853
75,0.03949
76,0.03244
81,0.02932
82,0.04017
83,0.03354
86,0.03253
87,0.03879
88,0.03326
91,0.04278
92,0.03869
94,0.03219
97,0.03879
100,0.03992
102,0.03870
103,0.03330
105,0.03890
106,0.04775
108,0.03904
113,0.05159
114,0.03789
115,0.03459
118,0.04266
122,0.03000
124,0.03249
126,0.03426
128,0.03842
129,0.03880
130,0.04475
131,0.04648
132,0.04539
133,0.03086
134,0.04705
135,0.04374
136,0.03288
139,0.03325
140,0.03779
141,0.04275
146,0.03409
148,0.03674
151,0.03072
152,0.04429
154,0.03310
157,0.03479
158,0.02979
159,0.04759
161,0.03817
164,0.03619
165,0.04727
167,0.03670
168,0.04140
169,0.03738
171,0.03800
172,0.04508
173,0.03058
174,0.03840
175,0.03937
176,0.04168
178,0.03794
179,0.03314
180,0.03081
181,0.02732
182,0.04381
183,0.04121
184,0.04822
185,0.03671
187,0.03032
188,0.03347
190,0.03566
191,0.03557
192,0.05780
195,0.03574
196,0.04097
198,0.04266
201,0.03400
202,0.03579
203,0.03380
204,0.03160
207,0.03479
213,0.04594
219,0.03259
220,0.03673
222,0.04281
226,0.03377
228,0.05139
230,0.03784
231,0.03378
232,0.04216
233,0.03838
234,0.02806
236,0.04162
237,0.03525
238,0.04643
240,0.03808
241,0.03122
242,0.04099
243,0.03698
245,0.03800
246,0.05305
247,0.03382
249,0.05153
250,0.03899
251,0.03072
252,0.04066
253,0.03085
254,0.03842
255,0.05073
256,0.04004
257,0.03463
258,0.04096
259,0.05181
260,0.02642
262,0.03015
267,0.03370
268,0.03161
270,0.03008
272,0.03738
273,0.03395
274,0.04082
275,0.04254
276,0.03391
277,0.03678
278,0.04304
279,0.04471
281,0.04222
282,0.03559
283,0.04083
287,0.03651
288,0.04097
289,0.04040
290,0.03757
291,0.04043
292,0.05715
293,0.03838
294,0.03508
295,0.03249
296,0.05723
297,0.03439
298,0.03765
299,0.04425
300,0.04245
303,0.04354
304,0.04188
308,0.03081
314,0.04868
315,0.04013
317,0.03619
318,0.05018
320,0.04573
322,0.04156
323,0.03858
327,0.04285
329,0.04643
331,0.03611
332,0.05607
333,0.04312
334,0.03385
335,0.03168
336,0.03912
337,0.04595
341,0.04534
343,0.03198
345,0.04421
347,0.03308
348,0.03242
349,0.03448
352,0.03617
353,0.03064
354,0.04022
355,0.03454
356,0.04378
357,0.03777
358,0.03399
359,0.03463
361,0.03656
362,0.03925
365,0.04091
366,0.04258
368,0.03892
369,0.03425
371,0.03233
373,0.03596
376,0.03529
377,0.04302
