id,target
0,0.02591
1,0.03496
2,0.02635
3,0.02172
4,0.01770
5,0.02194
6,0.04475
8,0.02141
10,0.06111
11,0.03070
12,0.03448
14,0.02140
15,0.03964
18,0.04624
21,0.04663
23,0.03904
24,0.04540
25,0.04129
27,0.03603
29,0.04591
30,0.02656
31,0.05029
32,0.04443
33,0.02868
37,0.02588
38,0.03438
39,0.05311
40,0.02223
41,0.03169
42,0.03855
44,0.03177
45,0.02992
47,0.04451
49,0.02312
51,0.03590
52,0.02742
53,0.04033
54,0.08638
55,0.02201
56,0.03561
57,0.09451
59,0.03158
60,0.03506
62,0.01830
63,0.05936
67,0.03912
68,0.01537
69,0.04922
70,0.03496
71,0.04276
73,0.05056
75,0.02780
76,0.02136
81,0.01839
82,0.02926
83,0.02329
86,0.02627
87,0.04150
88,0.03427
91,0.03862
92,0.03426
94,0.02285
97,0.03248
100,0.03152
102,0.03510
103,0.03159
105,0.03204
106,0.03993
108,0.02269
113,0.06587
114,0.04838
115,0.03739
118,0.04529
122,0.02808
124,0.03721
126,0.02749
128,0.03688
129,0.05388
130,0.05138
131,0.04270
132,0.04274
133,0.02019
134,0.04664
135,0.04759
136,0.02016
139,0.01395
140,0.03278
141,0.04106
146,0.02695
148,0.03080
151,0.01872
152,0.03518
154,0.02307
157,0.03006
158,0.01848
159,0.04954
161,0.03667
164,0.03663
165,0.05051
167,0.02526
168,0.04181
169,0.03313
171,0.03076
172,0.04619
173,0.02743
174,0.04121
175,0.04190
176,0.04567
178,0.03526
179,0.02640
180,0.02102
181,0.01880
182,0.04827
183,0.04331
184,0.04098
185,0.04120
187,0.02447
188,0.03010
190,0.02334
191,0.02878
192,0.04228
195,0.02634
196,0.03431
198,0.04238
201,0.03764
202,0.03378
203,0.02453
204,0.02064
207,0.02928
213,0.03988
219,0.02511
220,0.02629
222,0.04501
226,0.02286
228,0.06406
230,0.03193
231,0.01954
232,0.03473
233,0.02479
234,0.01840
236,0.02853
237,0.03407
238,0.04706
240,0.03097
241,0.02303
242,0.04330
243,0.04390
245,0.02582
246,0.04035
247,0.02558
249,0.06295
250,0.02846
251,0.01868
252,0.02556
253,0.02125
254,0.04627
255,0.06108
256,0.03451
257,0.02194
258,0.03059
259,0.05514
260,0.01671
262,0.02446
267,0.03667
268,0.02978
270,0.02129
272,0.02982
273,0.02326
274,0.02795
275,0.02838
276,0.02200
277,0.03042
278,0.05545
279,0.04934
281,0.03530
282,0.02940
283,0.04423
287,0.04033
288,0.05128
289,0.03428
290,0.01728
291,0.02956
292,0.07355
293,0.03976
294,0.02229
295,0.01777
296,0.08358
297,0.03443
298,0.03278
299,0.03584
300,0.04155
303,0.03976
304,0.05212
308,0.01591
314,0.10649
315,0.02562
317,0.03390
318,0.05971
320,0.07408
322,0.03345
323,0.03462
327,0.03718
329,0.05268
331,0.02237
332,0.05722
333,0.06409
334,0.01970
335,0.03973
336,0.06986
337,0.03407
341,0.05516
343,0.03344
345,0.05597
347,0.03603
348,0.02800
349,0.03138
352,0.02665
353,0.01795
354,0.05847
355,0.02701
356,0.03612
357,0.02267
358,0.02242
359,0.02928
361,0.03776
362,0.03517
365,0.04611
366,0.07146
368,0.04345
369,0.02705
371,0.02011
373,0.03372
376,0.05825
377,0.03287
379,0.04907
381,0.02450
382,0.03415
383,0.02236
384,0.05201
385,0.03447
386,0.03318
387,0.02425
388,0.07713
390,0.03211
391,0.02804
392,0.05353
393,0.03108
394,0.02387
396,0.03706
400,0.03750
402,0.03418
403,0.03217
405,0.03045
407,0.04236
409,0.05444
411,0.02837
412,0.01398
414,0.07239
415,0.03164
416,0.02355
418,0.02461
419,0.02484
421,0.01871
422,0.05443
423,0.03709
424,0.04511
426,0.03324
427,0.05357
428,0.04897
436,0.05057
438,0.03519
442,0.02748
443,0.02642
445,0.03799
446,0.03760
447,0.02343
450,0.04409
452,0.02360
453,0.03547
455,0.02515
458,0.04963
459,0.01507
461,0.02211
463,0.02273
467,0.05291
470,0.03669
471,0.03192
472,0.03632
476,0.05367
477,0.04240
481,0.04571
482,0.05584
483,0.10109
485,0.02933
487,0.02422
488,0.02026
490,0.02819
492,0.02619
494,0.04275
497,0.06130
499,0.03038
500,0.03529
501,0.02641
503,0.03273
505,0.02921
506,0.03326
507,0.03108
509,0.04434
510,0.03882
511,0.04020
512,0.02009
514,0.04039
515,0.03277
516,0.03723
517,0.12430
519,0.04013
520,0.05137
521,0.02116
522,0.04699
523,0.03859
527,0.02827
530,0.04975
532,0.02679
534,0.03765
536,0.05496
539,0.02610
543,0.01960
547,0.02907
550,0.02741
551,0.06103
552,0.02555
553,0.05187
555,0.03646
556,0.02825
557,0.02479
558,0.04862
559,0.02843
560,0.02580
561,0.03463
565,0.03322
566,0.02409
567,0.02763
571,0.02750
572,0.03015
574,0.02097
575,0.01775
576,0.03376
577,0.03930
578,0.02064
579,0.03364
581,0.02229
587,0.02754
589,0.02468
590,0.05537
591,0.03309
592,0.03449
593,0.02529
594,0.04909
595,0.04887
596,0.01984
597,0.03839
598,0.07497
600,0.02151
602,0.02035
605,0.02432
606,0.04303
607,0.02314
612,0.01784
613,0.02891
614,0.01957
615,0.02710
616,0.02801
617,0.02134
618,0.08579
620,0.02160
621,0.02780
622,0.02420
623,0.04426
628,0.02462
631,0.03085
632,0.01919
633,0.02562
634,0.06349
635,0.05349
637,0.05239
638,0.08115
640,0.03971
643,0.02557
644,0.07463
645,0.04075
646,0.02521
649,0.02660
651,0.07618
653,0.02138
654,0.04631
655,0.06836
656,0.02990
658,0.04722
659,0.01953
661,0.04173
662,0.03271
663,0.04757
664,0.07332
665,0.05817
667,0.03053
668,0.06648
671,0.04565
673,0.03667
674,0.05854
675,0.01737
676,0.05046
677,0.03282
678,0.02632
679,0.03693
680,0.03618
681,0.04667
682,0.04406
683,0.02781
684,0.02660
686,0.05169
687,0.05341
688,0.03715
690,0.02328
691,0.03406
692,0.05403
693,0.04104
694,0.05446
695,0.02061
696,0.02101
698,0.03834
699,0.03213
702,0.04624
703,0.01542
705,0.05913
706,0.04451
707,0.02750
708,0.02221
709,0.06937
710,0.08686
713,0.02966
714,0.03735
715,0.03495
716,0.04608
717,0.04922
718,0.02548
719,0.02296
720,0.04569
721,0.02848
723,0.03571
724,0.05219
726,0.02814
728,0.06538
730,0.02781
732,0.03451
734,0.02389
735,0.03469
737,0.02538
738,0.03242
741,0.04211
742,0.03118
743,0.02808
746,0.02745
747,0.03673
749,0.03468
750,0.05503
752,0.03935
755,0.04134
757,0.02617
758,0.03054
759,0.03086
765,0.03551
766,0.01630
767,0.05779
768,0.02483
769,0.02721
770,0.02193
771,0.02485
772,0.01862
773,0.05974
775,0.03323
776,0.03824
778,0.03918
779,0.04086
780,0.05227
782,0.05095
783,0.04567
784,0.03609
785,0.01824
786,0.02855
788,0.05395
789,0.02395
792,0.05663
793,0.02066
794,0.03374
797,0.05334
798,0.02769
799,0.05738
800,0.06083
801,0.04415
802,0.06188
805,0.01916
